# Arthitean Codex unified search index
# 901 records; JavaScript not required
# Format: title | type | canon_status | route | aliases | source/data path
# Canonical site: https://arthratanmythology.com/

Aliza | character | canonical-source-or-dossier | /characters/aliza/ |  | /data/characters.json
Annaris | character | canonical-source-or-dossier | /characters/annaris-deyhamora/ | Annaris Deyhamora — legacy compound rendering; superseded as an identity merger by later email canon; One of the Seven Disasters; Archnüreen; Unmistaken; Hypercontingency user | /data/characters.json
Asmouth Varvadeil | character | canonical-source-or-dossier | /characters/asmouth-varvadeil/ | Asmousth (model-directory spelling variant); Head of Clan Varvadeil; Supreme scientific architect | /data/characters.json
Commander Kaelthas | character | canonical-source-or-dossier | /characters/commander-kaelthas/ | Vanguard Commander | /data/characters.json
Dalroemar | character | canonical-source-or-dossier | /characters/dalroemar/ | The Calamity to All | /data/characters.json
Daren | character | canonical-source-or-dossier | /characters/daren/ |  | /data/characters.json
Dariyus Venakan | character | canonical-source-or-dossier | /characters/dariyus-venakan/ | Head of Clan Venakan; Prime Hyperascender; Hardest Working Arthitean | /data/characters.json
Deyhamora | character | canonical-source-or-dossier | /characters/deyhamora/ | One of the Seven Disasters | /data/characters.json
Dyvane Redalious | character | canonical-source-or-dossier | /characters/dyvane-redalious/ | Supreme Male General; Head of Clan Redalious; Endurance Vanguard; Highest Endurance Record | /data/characters.json
Grayus Venakan | character | canonical-source-or-dossier | /characters/grayus-venakan/ |  | /data/characters.json
Halatayo | character | canonical-source-or-dossier | /characters/halatayo/ | Conqueror of the Infinite Parachallenge | /data/characters.json
High Commander Vaeloria | character | canonical-source-or-dossier | /characters/vaeloria/ | Vaeloria; High Commander | /data/characters.json
High Lord Kaelen (Vanguard) | character | canonical-source-or-dossier | /characters/high-lord-kaelen-vanguard/ | High Lord Kaelen of the Vanguard; High Lord | /data/characters.json
Inzra | character | canonical-source-or-dossier | /characters/inzra/ | Archmedonite; Princess Engineer | /data/characters.json
Kaelar Omnivox | character | canonical-source-or-dossier | /characters/kaelar-omnivox/ | Sovereign of the Absolute Analysis; The Archon of Metaperception — metatitle | /data/characters.json
Kaelen Redalious | character | canonical-source-or-dossier | /characters/kaelen-redalious/ |  | /data/characters.json
Kartus Vaeloria | character | canonical-source-or-dossier | /characters/kartus-vaeloria/ | Kartus; Counterlogical Oracle; Premier Intelligence Officer; Leader of Clan Vaeloria | /data/characters.json
Lady Vaelia | character | canonical-source-or-dossier | /characters/lady-vaelia/ | Vaelia Unmatara Varvadeil — explicit name used in the reincarnation/proxy-war corpus; linkage to the later Lady Vaelia presentation remains source-qualified; Lady; Leading Archgynocologist; Supreme Chief / inaugural high clinical title in later competition material | /data/characters.json
Lay | character | canonical-source-or-dossier | /characters/lay/ |  | /data/characters.json
Linaele Zolfer | character | canonical-source-or-dossier | /characters/linaele-zolfer/ | Leader of the Zolfer Clan | /data/characters.json
Lord Kaelen | character | canonical-source-or-dossier | /characters/lord-kaelen/ | Lord; Leading Archandrologist / later chief-title competitor | /data/characters.json
Lyra Unmatara | character | canonical-source-or-dossier | /characters/lyra-unmatara/ |  | /data/characters.json
Ophidion the Omni-Watcher | character | canonical-source-or-dossier | /characters/ophidion/ | Ophidion; The Omni-Watcher | /data/characters.json
Orotus | character | canonical-source-or-dossier | /characters/orotus/ | Supreme Rank Arbiter; Orotion Quest Granter; Smartest figure in several Arthitean ranking lists | /data/characters.json
Qai'lyth | character | canonical-source-or-dossier | /characters/qailyth/ | Qailyth (email spelling variant); Architect of the Grand Reincarnation; Ultimate Relational Authority | /data/characters.json
Qintara Unmatara | character | canonical-source-or-dossier | /characters/qintara-unmatara/ | Supreme Female General; Head of Clan Unmatara; Best Strategist in the Omniverse | /data/characters.json
Rhayhara | character | canonical-source-or-dossier | /characters/rhayhara/ | Supreme Empress; Goddess of Arthiteans; Supreme Overworlder to All; Strongest Arthitean; Omnicausal Overworlder (metatitle) | /data/characters.json
Sylvanna Xylaris | character | canonical-source-or-dossier | /characters/sylvanna-xylaris/ | Supreme Cold-War General; Commander of Clan Xylaris | /data/characters.json
Thalyros Veyndarion | character | canonical-source-or-dossier | /characters/thalyros-veyndarion/ | Head of Clan Veyndarion; Weaver of the Arthitean Narrative | /data/characters.json
Vaelath | character | canonical-source-or-dossier | /characters/vaelath/ |  | /data/characters.json
Vaelstrum the Paradox-Weaver | character | canonical-source-or-dossier | /characters/vaelstrum/ | Vaelstrum; The Paradox-Weaver | /data/characters.json
